mol 1,mol 2,mol 3,x1,x2,x3,T /K,Visc /cP
1,4,0.5,0.1818,0.7273,0.0909,298.2,29
1,4,0.5,0.1818,0.7273,0.0909,303.2,23
1,4,0.5,0.1818,0.7273,0.0909,308.2,18.3
1,4,0.5,0.1818,0.7273,0.0909,313.2,14.9
1,4,0.5,0.1818,0.7273,0.0909,318.2,12.04
1,4,0.5,0.1818,0.7273,0.0909,323.2,10.13
1,4,1,0.1667,0.6667,0.1667,298.2,26.2
1,4,1,0.1667,0.6667,0.1667,303.2,20.7
1,4,1,0.1667,0.6667,0.1667,308.2,16.7
1,4,1,0.1667,0.6667,0.1667,313.2,13.5
1,4,1,0.1667,0.6667,0.1667,318.2,11.1
1,4,1,0.1667,0.6667,0.1667,323.2,9.33
1,4,2,0.1429,0.5714,0.2857,298.2,23.3
1,4,2,0.1429,0.5714,0.2857,303.2,18.6
1,4,2,0.1429,0.5714,0.2857,308.2,14.9
1,4,2,0.1429,0.5714,0.2857,313.2,12.2
1,4,2,0.1429,0.5714,0.2857,318.2,10.16
1,4,2,0.1429,0.5714,0.2857,323.2,8.58
1,4,4,0.1111,0.4444,0.4444,298.2,18.13
1,4,4,0.1111,0.4444,0.4444,303.2,14.66
1,4,4,0.1111,0.4444,0.4444,308.2,12.06
1,4,4,0.1111,0.4444,0.4444,313.2,10.06
1,4,4,0.1111,0.4444,0.4444,318.2,8.38
1,4,4,0.1111,0.4444,0.4444,323.2,7.18
1,6,0.5,0.13333,0.8,0.06667,298.2,14.32
1,6,0.5,0.13333,0.8,0.06667,303.2,11.58
1,6,0.5,0.13333,0.8,0.06667,308.2,9.63
1,6,0.5,0.13333,0.8,0.06667,313.2,8.01
1,6,0.5,0.13333,0.8,0.06667,318.2,6.75
1,6,0.5,0.13333,0.8,0.06667,323.2,5.79
1,6,1,0.125,0.75,0.125,298.2,20.8
1,6,1,0.125,0.75,0.125,303.2,16.7
1,6,1,0.125,0.75,0.125,308.2,13.34
1,6,1,0.125,0.75,0.125,313.2,11.16
1,6,1,0.125,0.75,0.125,318.2,9.2
1,6,1,0.125,0.75,0.125,323.2,7.88
1,6,2,0.11111,0.66667,0.22222,298.2,15.98
1,6,2,0.11111,0.66667,0.22222,303.2,12.96
1,6,2,0.11111,0.66667,0.22222,308.2,10.7
1,6,2,0.11111,0.66667,0.22222,313.2,8.86
1,6,2,0.11111,0.66667,0.22222,318.2,7.48
1,6,2,0.11111,0.66667,0.22222,323.2,6.44
1,6,4,0.09091,0.54545,0.36364,298.2,8.83
1,6,4,0.09091,0.54545,0.36364,303.2,7.35
1,6,4,0.09091,0.54545,0.36364,308.2,6.36
1,6,4,0.09091,0.54545,0.36364,313.2,5.38
1,6,4,0.09091,0.54545,0.36364,318.2,4.7
1,6,4,0.09091,0.54545,0.36364,323.2,4.04
