mol 1,mol 2,mol 3,x1,x2,x3,T /K,Visc /cP
1,4,0.5,0.1818,0.7273,0.0909,298.2,19.13
1,4,0.5,0.1818,0.7273,0.0909,303.2,15.77
1,4,0.5,0.1818,0.7273,0.0909,308.2,13.26
1,4,0.5,0.1818,0.7273,0.0909,313.2,11.29
1,4,0.5,0.1818,0.7273,0.0909,318.2,9.62
1,4,0.5,0.1818,0.7273,0.0909,323.2,8.26
1,4,1,0.1667,0.6667,0.1667,298.2,16.95
1,4,1,0.1667,0.6667,0.1667,303.2,13.99
1,4,1,0.1667,0.6667,0.1667,308.2,11.74
1,4,1,0.1667,0.6667,0.1667,313.2,10.02
1,4,1,0.1667,0.6667,0.1667,318.2,8.55
1,4,1,0.1667,0.6667,0.1667,323.2,7.43
1,4,2,0.1429,0.5714,0.2857,298.2,14.00
1,4,2,0.1429,0.5714,0.2857,303.2,11.55
1,4,2,0.1429,0.5714,0.2857,308.2,9.75
1,4,2,0.1429,0.5714,0.2857,313.2,8.28
1,4,2,0.1429,0.5714,0.2857,318.2,7.12
1,4,2,0.1429,0.5714,0.2857,323.2,6.19
1,4,4,0.1111,0.4444,0.4444,298.2,9.96
1,4,4,0.1111,0.4444,0.4444,303.2,8.34
1,4,4,0.1111,0.4444,0.4444,308.2,7.10
1,4,4,0.1111,0.4444,0.4444,313.2,6.11
1,4,4,0.1111,0.4444,0.4444,318.2,5.31
1,4,4,0.1111,0.4444,0.4444,323.2,4.09
