mol 1,mol 2,x1,x2,T /K,Visc /cP
1,4,0.2,0.8,298.2,33.2
1,4,0.2,0.8,303.2,25.8
1,4,0.2,0.8,308.2,20.6
1,4,0.2,0.8,313.2,16.5
1,4,0.2,0.8,318.2,13.4
1,4,0.2,0.8,323.2,11.1
1,6,0.1429,0.8571,298.2,16.73
1,6,0.1429,0.8571,303.2,13.47
1,6,0.1429,0.8571,308.2,11.1
1,6,0.1429,0.8571,313.2,9.15
1,6,0.1429,0.8571,318.2,7.66
1,6,0.1429,0.8571,323.2,6.54
