mol 1,mol 2,mol 3,x1,x2,x3,T /K,Visc /cP
1,4,0.5,0.1818,0.7273,0.0909,298.2,14.9
1,4,0.5,0.1818,0.7273,0.0909,303.2,12.4
1,4,0.5,0.1818,0.7273,0.0909,308.2,10.6
1,4,0.5,0.1818,0.7273,0.0909,313.2,9.03
1,4,0.5,0.1818,0.7273,0.0909,318.2,7.77
1,4,0.5,0.1818,0.7273,0.0909,323.2,6.76
1,4,1,0.1667,0.6667,0.1667,298.2,10.81
1,4,1,0.1667,0.6667,0.1667,303.2,9.17
1,4,1,0.1667,0.6667,0.1667,308.2,7.83
1,4,1,0.1667,0.6667,0.1667,313.2,6.78
1,4,1,0.1667,0.6667,0.1667,318.2,5.92
1,4,1,0.1667,0.6667,0.1667,323.2,5.17
1,4,2,0.1429,0.5714,0.2857,298.2,7.28
1,4,2,0.1429,0.5714,0.2857,303.2,6.24
1,4,2,0.1429,0.5714,0.2857,308.2,5.46
1,4,2,0.1429,0.5714,0.2857,313.2,4.78
1,4,2,0.1429,0.5714,0.2857,318.2,4.22
1,4,2,0.1429,0.5714,0.2857,323.2,3.8
1,4,4,0.1111,0.4444,0.4444,298.2,3.72
1,4,4,0.1111,0.4444,0.4444,303.2,3.24
1,4,4,0.1111,0.4444,0.4444,308.2,2.9
1,4,4,0.1111,0.4444,0.4444,313.2,2.64
1,4,4,0.1111,0.4444,0.4444,318.2,2.38
1,4,4,0.1111,0.4444,0.4444,323.2,2.14
