mol 1,mol 2,mol 3,x1,x2,x3,T /K,Visc /cP
1,4,0.5,0.1818,0.7273,0.0909,298.2,17.81
1,4,0.5,0.1818,0.7273,0.0909,303.2,14.84
1,4,0.5,0.1818,0.7273,0.0909,308.2,12.61
1,4,0.5,0.1818,0.7273,0.0909,313.2,10.64
1,4,0.5,0.1818,0.7273,0.0909,318.2,9.12
1,4,0.5,0.1818,0.7273,0.0909,323.2,7.92
1,4,1,0.1667,0.6667,0.1667,298.2,15.6
1,4,1,0.1667,0.6667,0.1667,303.2,13.08
1,4,1,0.1667,0.6667,0.1667,308.2,11.14
1,4,1,0.1667,0.6667,0.1667,313.2,9.53
1,4,1,0.1667,0.6667,0.1667,318.2,8.17
1,4,1,0.1667,0.6667,0.1667,323.2,7.14
1,4,2,0.1429,0.5714,0.2857,298.2,12.9
1,4,2,0.1429,0.5714,0.2857,303.2,10.86
1,4,2,0.1429,0.5714,0.2857,308.2,9.31
1,4,2,0.1429,0.5714,0.2857,313.2,7.99
1,4,2,0.1429,0.5714,0.2857,318.2,6.96
1,4,2,0.1429,0.5714,0.2857,323.2,6.1
1,4,4,0.1111,0.4444,0.4444,298.2,9.25
1,4,4,0.1111,0.4444,0.4444,303.2,7.89
1,4,4,0.1111,0.4444,0.4444,308.2,6.88
1,4,4,0.1111,0.4444,0.4444,313.2,5.97
1,4,4,0.1111,0.4444,0.4444,318.2,5.23
1,4,4,0.1111,0.4444,0.4444,323.2,4.64
